"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"occupationgroup","67068e9c85654550e384df9e","67068ead85654550e3851df9","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"escooccupation","67068ead85654550e3852318","67068ead85654550e3851dfa","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"occupationgroup","67068e9c85654550e384df56","67068ead85654550e3851dfb","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"occupationgroup","67068e9c85654550e384e09b","67068ead85654550e3851dfc","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"escooccupation","67068ead85654550e38523ce","67068ead85654550e3851dfd","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068ead85654550e3851f07","67068ead85654550e3851dfe","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068ead85654550e3851de2","67068ead85654550e3851dff","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"escooccupation","67068ead85654550e3851e29","67068ead85654550e3851e00","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"occupationgroup","67068e9c85654550e384e0ef","67068ead85654550e3851e01","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"occupationgroup","67068e9c85654550e384e0c3","67068ead85654550e3851e02","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"occupationgroup","67068e9c85654550e384df8f","67068ead85654550e3851e03","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"occupationgroup","67068e9c85654550e384dff8","67068ead85654550e3851e04","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"occupationgroup","67068e9c85654550e384df08","67068ead85654550e3851e05","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"occupationgroup","67068e9c85654550e384dfb7","67068ead85654550e3851e06","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"occupationgroup","67068e9c85654550e384dfb5","67068ead85654550e3851e07","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"escooccupation","67068ead85654550e385211f","67068ead85654550e3851e08","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"occupationgroup","67068e9c85654550e384e0d7","67068ead85654550e3851e09","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"occupationgroup","67068e9c85654550e384e0f5","67068ead85654550e3851e0a","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"occupationgroup","67068e9c85654550e384e14c","67068ead85654550e3851e0b","escooccupation","2024-10-09T14:09:53.691Z","2024-10-09T14:09:53.691Z"
"occupationgroup","67068e9c85654550e384dff4","67068ead85654550e3851e0c","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
"escooccupation","67068ead85654550e38520fb","67068ead85654550e3851e0d","escooccupation","2024-10-09T14:09:53.887Z","2024-10-09T14:09:53.887Z"
"occupationgroup","67068e9c85654550e384df6c","67068ead85654550e3851e0e","escooccupation","2024-10-09T14:09:53.692Z","2024-10-09T14:09:53.692Z"
