"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","67068e9e85654550e384e1e2","67068ea585654550e38508ca","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e1cf","67068ea585654550e38508cb","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e256","67068ea585654550e38508cc","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skill","67068ea585654550e38509b4","67068ea585654550e38508cc","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skillgroup","67068e9e85654550e384e19a","67068ea585654550e38508cd","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skill","67068ea985654550e3850c7d","67068ea585654550e38508cd","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skillgroup","67068e9e85654550e384e2ee","67068ea585654550e38508ce","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e34b","67068ea585654550e38508cf","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skill","67068ea585654550e384fd19","67068ea585654550e38508cf","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skill","67068ea085654550e384f141","67068ea585654550e38508cf","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skillgroup","67068e9e85654550e384e3ce","67068ea585654550e38508d0","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e234","67068ea585654550e38508d1","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e3c7","67068ea585654550e38508d2","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e22a","67068ea585654550e38508d3","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e37a","67068ea585654550e38508d4","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e37e","67068ea585654550e38508d5","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skill","67068ea585654550e384ffc8","67068ea585654550e38508d5","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skillgroup","67068e9e85654550e384e295","67068ea585654550e38508d6","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e1e4","67068ea585654550e38508d7","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e309","67068ea585654550e38508d8","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e2ee","67068ea585654550e38508d9","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skill","67068ea085654550e384f504","67068ea585654550e38508d9","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skillgroup","67068e9e85654550e384e390","67068ea585654550e38508da","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e34b","67068ea585654550e38508db","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e390","67068ea585654550e38508dc","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e30c","67068ea585654550e38508dd","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e255","67068ea585654550e38508de","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e263","67068ea585654550e38508df","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e258","67068ea585654550e38508e0","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e395","67068ea585654550e38508e1","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skill","67068ea585654550e38500c2","67068ea585654550e38508e1","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skill","67068ea585654550e3850a6c","67068ea585654550e38508e1","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skillgroup","67068e9e85654550e384e358","67068ea585654550e38508e2","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skill","67068ea585654550e384f8e1","67068ea585654550e38508e2","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skillgroup","67068e9e85654550e384e3ce","67068ea585654550e38508e3","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e3bb","67068ea585654550e38508e4","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skill","67068ea085654550e384ebe1","67068ea585654550e38508e4","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skillgroup","67068e9e85654550e384e1ad","67068ea585654550e38508e5","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e33c","67068ea585654550e38508e6","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e2a5","67068ea585654550e38508e7","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skill","67068ea985654550e38518e8","67068ea585654550e38508e7","skill","2024-10-09T14:10:06.990Z","2024-10-09T14:10:06.990Z"
"skill","67068ea585654550e3850522","67068ea585654550e38508e7","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e24b","67068ea585654550e38508e8","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skill","67068ea085654550e384e8f3","67068ea585654550e38508e8","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e34b","67068ea585654550e38508e9","skill","2024-10-09T14:10:00.707Z","2024-10-09T14:10:00.707Z"
"skillgroup","67068e9e85654550e384e30c","67068ea585654550e38508ea","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e348","67068ea585654550e38508eb","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e304","67068ea585654550e38508ec","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e2c9","67068ea585654550e38508ed","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea985654550e38515f2","67068ea585654550e38508ed","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skill","67068ea585654550e3850254","67068ea585654550e38508ed","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e2f8","67068ea585654550e38508ee","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea585654550e384fa79","67068ea585654550e38508ee","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e210","67068ea585654550e38508ef","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e17f","67068ea585654550e38508f0","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e304","67068ea585654550e38508f1","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e2a0","67068ea585654550e38508f2","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea585654550e38502a1","67068ea585654550e38508f2","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e259","67068ea585654550e38508f3","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e1ed","67068ea585654550e38508f4","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e383","67068ea585654550e38508f5","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068e9f85654550e384e4a8","67068ea585654550e38508f5","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skill","67068ea585654550e38508a2","67068ea585654550e38508f5","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skill","67068ea985654550e3850c27","67068ea585654550e38508f6","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e3da","67068ea585654550e38508f7","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea985654550e38517e1","67068ea585654550e38508f7","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e2c1","67068ea585654550e38508f8","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e2e2","67068ea585654550e38508f9","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e3ce","67068ea585654550e38508fa","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea585654550e3850a00","67068ea585654550e38508fb","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skillgroup","67068e9e85654550e384e17d","67068ea585654550e38508fc","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e3c9","67068ea585654550e38508fd","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skillgroup","67068e9e85654550e384e2e3","67068ea585654550e38508fe","skill","2024-10-09T14:10:00.708Z","2024-10-09T14:10:00.708Z"
"skill","67068ea585654550e3850192","67068ea585654550e38508fe","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
"skill","67068e9f85654550e384e4a8","67068ea585654550e38508fe","skill","2024-10-09T14:10:06.991Z","2024-10-09T14:10:06.991Z"
